participant, trial, cashIn, pop, totalTokens,  pressCount, tokensGained, duration, reactionTime
5,1,0,0,NA,1,1,0.0833678244999998,0.9901850224000004
5,1,0,0,NA,2,1,0.06672501570000122,0.06668496130000001
5,1,0,0,NA,3,1,0.033402204499999755,0.11657500269999943
5,1,0,0,NA,4,1,0.033344030400000335,0.1000077723999997
5,1,0,0,NA,5,1,0.06674003600000056,0.06659603119999957
5,1,0,0,NA,6,1,0.06677389150000046,0.06655907629999902
5,1,0,0,NA,7,1,0.06667304039999955,0.06653809540000033
5,1,0,0,NA,8,1,0.03336215020000033,0.10003781320000016
5,1,0,0,NA,9,1,0.06672620770000037,0.0999288559
5,1,0,0,NA,10,1,0.03336596489999977,0.08329296109999973
5,1,0,0,NA,11,1,0.03330397609999913,0.10000705720000092
5,1,0,0,NA,12,1,0.20002698900000127,0.3500139712999992
5,1,0,0,NA,13,1,0.033375978500000514,0.08328390119999973
5,1,0,0,NA,14,1,0.06670188900000085,0.06661820409999919
5,1,0,0,NA,15,1,0.033333063100000615,0.10000395779999849
5,1,0,0,NA,16,1,0.06667089459999964,0.08341002470000092
5,1,0,0,NA,17,1,0.05012583730000131,0.3832170962999992
5,1,0,0,NA,18,1,0.06669092179999936,0.0665662288999993
5,1,0,0,NA,19,1,0.06671690940000019,0.049988031399999855
5,1,0,0,NA,20,1,0.03338003160000014,0.09988403320000039
5,1,0,0,NA,21,1,0.03346586229999993,0.09995603559999999
5,1,0,0,NA,22,1,0.06661009789999994,0.08329606050000038
5,1,0,0,NA,23,1,0.03340601920000097,0.1666598319999988
5,1,0,0,NA,24,1,0.050021171499999184,0.3499219417999999
5,1,0,0,NA,25,1,0.11663603780000287,0.2667319774999992
5,1,0,0,NA,26,1,0.0832769871000032,1.283324003199997
5,1,0,0,NA,27,1,0.0666739941000003,0.10006499289999837
5,1,0,0,NA,28,1,0.10009193419999818,0.06660699840000106
5,1,1,0,28,28,1,0.3833079337999976,0.28321599959999944
5,2,0,0,NA,1,1,0.033326148999996974,0.4998750686000015
5,2,0,0,NA,2,1,0.033287048300000066,0.1167058945000008
5,2,0,0,NA,3,1,0.03327989570000156,0.08342504510000026
5,2,0,0,NA,4,1,0.06673789030000066,0.09989809989999898
5,2,0,0,NA,5,1,0.033303975999999125,0.06670904159999935
5,2,0,0,NA,6,1,0.033299923000001286,0.10000300409999952
5,2,0,0,NA,7,1,0.03344011310000283,0.0999720095999983
5,2,0,0,NA,8,1,0.06662201879999685,0.09996986390000018
5,2,0,0,NA,9,1,0.03330302239999838,0.08334016800000299
5,2,0,0,NA,10,1,0.03335809709999893,0.0833718776000012
5,2,0,0,NA,11,1,0.033418893800000404,0.09991097449999842
5,2,0,0,NA,12,1,0.03343510630000068,0.09994101530000066
5,2,0,0,NA,13,1,0.03328895569999801,0.09996199600000111
5,2,0,0,NA,14,1,0.0333919525000006,0.09997200970000009
5,2,0,0,NA,15,1,0.03337788580000023,0.09992909429999841
5,2,0,1,16,15,1,0.03335905069999967,NA
5,3,0,0,NA,1,1,0.05010294920000291,0.2986500262999954
5,3,0,0,NA,2,1,0.033365011200004346,0.09996104239999681
5,3,0,0,NA,3,1,0.050128936799993085,0.11655497550000149
5,3,0,0,NA,4,1,0.05013513560000149,0.0831849575000021
5,3,0,0,NA,5,1,0.03334498399999575,0.0999169350000031
5,3,0,0,NA,6,1,0.06266903870000107,0.11665892610000128
5,3,0,0,NA,7,1,0.0666971205999971,0.06672000889999907
5,3,0,0,NA,8,1,0.2000248432000049,0.08324599270000022
5,3,0,0,NA,9,1,0.03336691860000229,0.06673216819999794
5,3,0,0,NA,10,1,0.03332781799999651,0.11667108529999837
5,3,0,0,NA,11,1,0.033265829100002975,0.11666417120000006
5,3,0,0,NA,12,1,0.03335905069999967,0.11666011810000043
5,3,0,0,NA,13,1,0.0334410667999947,0.08326983450000114
5,3,0,0,NA,14,1,0.03337192539999734,0.3498830795000032
5,3,0,0,NA,15,1,0.10003805160000212,0.09997797009999942
5,3,0,0,NA,16,1,0.09997105600000111,0.3500199317999986
5,3,0,0,NA,17,1,0.033451080299997216,0.18331193920000288
5,3,0,0,NA,18,1,0.09997987749999737,0.6166250706000014
5,3,0,0,NA,19,1,0.03327512739999605,0.24999499320000496
5,3,0,0,NA,20,1,0.033320903799996415,0.30005002020000404
5,3,0,0,NA,21,1,0.033317089100002306,0.29998993870000135
5,3,0,0,NA,22,1,0.033362865400000885,0.11668801309999566
5,3,0,0,NA,23,1,0.033261060699999234,0.11679816250000385
5,3,0,0,NA,24,1,0.03331899639999847,0.09991478919999963
5,3,0,0,NA,25,1,0.06681990629999746,0.38332319260000247
5,3,0,0,NA,26,1,0.050004005399998164,0.2665340900000004
5,3,0,0,NA,27,1,0.06670188910000263,0.06662797930000153
5,3,0,0,NA,28,1,0.03328514100000035,0.05003595350000012
5,3,0,0,NA,29,1,0.04996609690000042,0.35006594649999556
5,3,0,0,NA,30,1,0.06667494780000283,0.08336997029999793
5,3,0,0,NA,31,1,0.033312082300000156,0.18331193920000288
5,3,0,0,NA,32,1,0.033353090199994995,0.21663188939999856
5,3,0,0,NA,33,1,0.03335309029999678,0.08334493640000318
5,3,1,0,33,33,1,0.7834000587999981,0.7500469685000013
5,4,0,0,NA,1,1,0.07931900029999639,0.431648016000004
5,4,0,0,NA,2,1,0.033363819099996306,0.0834021568000054
5,4,0,0,NA,3,1,0.033278942099997266,0.1166892052000037
5,4,0,0,NA,4,1,0.0332901478000025,0.11668491359999678
5,4,0,0,NA,5,1,0.033342123099998844,0.2166597842999991
5,4,0,0,NA,6,1,0.03341102600000312,0.06660795210000003
5,4,0,0,NA,7,1,0.033458948099998054,0.09997510910000074
5,4,0,0,NA,8,1,0.03344106670000002,0.11648797990000048
5,4,0,0,NA,9,1,0.03336095810000472,0.09989094739999871
5,4,0,0,NA,10,1,0.033360004499996876,0.11669802659999817
5,4,0,0,NA,11,1,0.03339409830000051,0.09991693490000131
5,4,0,0,NA,12,1,0.03325104710000204,0.11672496799999976
5,4,0,0,NA,13,1,0.05007600780000132,0.10002994539999577
5,4,0,0,NA,14,1,0.03343915940000386,0.08321785929999947
5,4,0,0,NA,15,1,0.033293008799994084,0.09993600840000028
5,4,0,0,NA,16,1,0.04994392400000436,0.2500510216000009
5,4,0,0,NA,17,1,0.033411025999996014,0.09997606270000148
5,4,0,0,NA,18,1,0.06678390499999409,0.08329796800000366
5,4,0,0,NA,19,1,0.03337097170000192,0.06652498240000426
5,4,0,0,NA,20,1,0.03338289269999706,0.1166591643999979
5,4,0,0,NA,21,1,0.06660509110000135,0.13330197330000004
5,4,0,0,NA,22,1,0.050081968300006,1.2999980449999953
5,4,0,0,NA,23,1,0.033293962399994825,0.183372974400001
5,4,0,0,NA,24,1,0.03339290620000668,0.11658406259999765
5,4,0,0,NA,25,1,0.03330302240000549,0.08340811729999587
5,4,0,0,NA,26,1,0.06664299959999198,0.1666648388000027
5,4,1,0,26,26,1,0.09990406029999122,0.033261060699999234
5,5,0,0,NA,1,1,0.05005598069999451,0.6046099663000035
5,5,0,0,NA,2,1,0.0333271026999995,0.11673784250000097
5,5,0,0,NA,3,1,0.03336620330000528,0.09992289539999888
5,5,0,0,NA,4,1,0.06670308109998757,0.06659293180000248
5,5,0,0,NA,5,1,0.06671309470000608,0.05005478860000778
5,5,0,0,NA,6,1,0.03340601920000097,0.09992599489999066
5,5,0,0,NA,7,1,0.049978017800000885,0.09998893739999914
5,5,0,0,NA,8,1,0.03335213659998715,0.08337092400000756
