participant,trial,cashIn,pop,totalTokens,pressCount,tokensGained,duration,reactionTime
9,1,0,0,NA,1,1,0.15024113650000000,0.8161168098999990
9,1,0,0,NA,2,1,0.10022211070000100,0.23385596280000000
9,1,0,0,NA,3,1,0.10015606879999900,0.23369383810000100
9,1,0,0,NA,4,1,0.0834288597999997,0.4676270485000010
9,1,0,0,NA,5,1,0.0667209626000016,0.08356213559999940
9,1,0,0,NA,6,1,0.10015487670000000,0.06691002839999880
9,1,0,0,NA,7,1,0.06687712669999970,0.4674780369000010
9,1,0,0,NA,8,1,0.08351898200000110,0.06679296489999940
9,1,0,0,NA,9,1,0.08343791959999970,0.08349704739999990
9,1,0,0,NA,10,1,0.10021114349999900,0.6178219319
9,1,0,0,NA,11,1,0.05019593239999940,0.06673598280000090
9,1,0,0,NA,12,1,0.11683511729999900,0.10015892990000100
9,1,0,0,NA,13,1,0.08350205420000020,0.4007689953
9,1,0,0,NA,14,1,0.06678318979999890,0.08352780340000090
9,1,0,0,NA,15,1,0.0835030078999992,0.11683487890000100
9,1,0,0,NA,16,1,0.13359594350000100,0.45092797280000100
9,1,0,1,17,16,1,0.0501761436999999,NA
9,2,0,0,NA,1,1,0.1502621174000010,0.44135999679999900
9,2,0,0,NA,2,1,0.11693191530000000,0.1503238677999970
9,2,0,0,NA,3,1,0.1002280712000000,0.1168630123000010
9,2,0,0,NA,4,1,0.10020303729999800,0.11690092090000100
9,2,0,1,5,4,1,0.06675505639999810,NA
9,3,0,0,NA,1,1,0.1336719990000010,0.3995280266000020
9,3,0,0,NA,2,1,0.11691498750000300,0.15024900439999600
9,3,0,0,NA,3,1,0.3006730079000020,0.06669306759999930
9,3,0,0,NA,4,1,0.08353710179999750,0.41741180420000000
9,3,0,0,NA,5,1,0.08354783049999530,0.11292409900000400
9,3,0,0,NA,6,1,0.06681609159999620,0.06671905520000370
9,3,0,0,NA,7,1,0.08343100550000320,0.6011738776999990
9,3,0,0,NA,8,1,0.08353114120000530,0.10021400449999600
9,3,0,0,NA,9,1,0.08343815799999990,0.08342385299999930
9,3,0,0,NA,10,1,0.10062909130000000,1.2356998920000000
9,3,0,0,NA,11,1,0.050209999099998000,1.5525410175000000
9,3,0,0,NA,12,1,0.11684012409999400,0.11686086660000700
9,3,0,0,NA,13,1,0.050130128900001100,0.7514338493000000
9,3,0,0,NA,14,1,0.08351397519999890,0.11682701110000000
9,3,0,0,NA,15,1,0.10016298299999700,0.11687803260000600
9,3,0,0,NA,16,1,0.18373894690000000,2.2709820270000000
9,3,0,0,NA,17,1,0.10030603410000100,1.0853760243000000
9,3,1,0,17,17,1,4.191298961600000,4.090992927500000
9,4,0,0,NA,1,1,0.13355898849999900,0.5740869046000090
9,4,0,0,NA,2,1,0.08341097829999460,0.300641059900002
9,4,0,0,NA,3,1,0.08357810980000120,0.3339650630999960
9,4,0,0,NA,4,1,0.08356595040000060,0.26713395110000700
9,4,0,0,NA,5,1,0.06692600249999710,0.16685605050000200
9,4,0,0,NA,6,1,0.08353495599999410,0.6511979102999990
9,4,0,0,NA,7,1,0.050059080200000500,0.08348298069999770
9,4,0,0,NA,8,1,0.08360600469998760,0.10010600090001300
9,4,0,0,NA,9,1,0.05020189280000410,0.1001009941000040
9,4,0,0,NA,10,1,0.08355093000000120,1.1855361461999900
9,4,0,0,NA,11,1,0.05012392999999800,0.10014200210000000
9,4,0,0,NA,12,1,0.06680297850000730,0.11686015130000300
9,4,0,1,13,12,1,0.050177097299993500,NA
9,5,0,0,NA,1,1,0.11686801910001100,0.5387279987999990
9,5,0,0,NA,2,1,0.13363981249999300,0.16694116589999900
9,5,0,0,NA,3,1,0.4008591175000050,0.11689496040000300
9,5,0,0,NA,4,1,0.08347582810000630,0.4674921035999940
9,5,0,0,NA,5,1,0.033452033999992600,0.16691613199999700
9,5,0,0,NA,6,1,0.06678891180000340,0.16695690160000300
9,5,0,0,NA,7,1,0.10026097300000500,0.6345031261000000
9,5,0,0,NA,8,1,0.10028290750000200,0.3840460776999920
9,5,0,0,NA,9,1,0.05015802379999460,0.283768892300003
9,5,0,0,NA,10,1,0.16702389709999500,1.7031691075000000
9,5,0,0,NA,11,1,0.1168129443999960,1.920391082800010
9,5,0,0,NA,12,1,0.0834660529999951,0.3506660462000040
9,5,0,0,NA,13,1,0.10025095940000000,0.4843080043000040
9,5,0,0,NA,14,1,0.10025095940000000,0.48410606390000100
9,5,0,0,NA,15,1,0.08353519439999960,0.6846358776000020
9,5,0,0,NA,16,1,0.06687712659999080,0.4007058143999980
9,5,0,0,NA,17,1,0.08351182939999550,0.38398504260000300
9,5,0,0,NA,18,1,0.10025310509999500,0.9517710209000110
9,5,0,0,NA,19,1,0.06687021249999250,0.3506028653000040
9,5,0,0,NA,20,1,0.11695194239999300,1.0352609158000100
9,5,0,0,NA,21,1,0.0834929942999878,1.2857720852000100
9,5,1,0,21,21,1,1.4861569405000000,1.4026639462000100
9,6,0,0,NA,1,1,0.11686396600001100,0.5136768819999990
9,6,0,0,NA,2,1,0.10025405899999400,0.1669969550000020
9,6,0,0,NA,3,1,0.11690497400000800,0.18359994899999800
9,6,0,0,NA,4,1,0.15033006699999900,0.45082116099999300
9,6,0,0,NA,5,1,0.15037107499999500,0.16695380200000900
9,6,0,0,NA,6,1,0.11690711999999300,0.15022396999999900
9,6,0,0,NA,7,1,0.13354897500001100,0.7514548300000000
9,6,0,0,NA,8,1,0.13354992799999400,0.8348941809999960
9,6,0,0,NA,9,1,0.13372516700000900,0.4676558970000000
9,6,0,0,NA,10,1,0.1503667829999960,0.48401904099999600
9,6,0,0,NA,11,1,0.15023398400001000,0.7347071169999990
9,6,0,0,NA,12,1,0.20043802200000000,0.33403491999999300
9,6,0,0,NA,13,1,0.15030407899999400,1.6363799580000100
9,6,0,0,NA,14,1,0.15019202199999900,0.31732392300000400
9,6,0,0,NA,15,1,0.150182008999991,0.9351751800000020
9,6,0,0,NA,16,1,0.11691713300000100,0.6847338680000090
9,6,0,0,NA,17,1,0.15039420099999700,0.250343799999996
9,6,0,0,NA,18,1,0.15022993099999800,0.3172528740000050
9,6,0,0,NA,19,1,0.11694192900000600,0.31728506099999300
9,6,0,0,NA,20,1,0.08356594999999350,0.3672790530000040
9,6,0,0,NA,21,1,0.1335439679999980,0.7681241040000090
9,6,0,1,22,21,1,0.0668148990000077,NA
9,7,0,0,NA,1,1,0.10012006800002400,0.5277268879999900
9,7,0,0,NA,2,1,0.0835838320000164,0.15026307099998300
9,7,0,0,NA,3,1,0.10021400399998000,0.11675906200000000
9,7,0,0,NA,4,1,0.08351707400001370,0.23383307500000700
9,7,0,0,NA,5,1,0.06686091499997820,0.18362688999999900
9,7,0,0,NA,6,1,0.050055979999996200,0.1836462020000060
9,7,0,0,NA,7,1,0.05019712400002160,0.3172369010000010
9,7,0,0,NA,8,1,0.05010795599997660,0.484213828999998
9,7,0,0,NA,9,1,0.08352994900002390,0.11678814900000100
9,7,0,0,NA,10,1,0.08350586899999260,0.13361501699998300
